upstream,sha,skill_root,available,has_script_surface,script_files,has_script_suffix
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/santa-method,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/search-first,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/security-bounty-hunter,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/security-review,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/security-scan,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/seo,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/skill-comply,True,True,10,True
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/skill-stocktake,True,True,3,True
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/social-graph-ranker,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/springboot-patterns,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/springboot-security,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/springboot-tdd,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/springboot-verification,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/strategic-compact,True,True,1,True
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/swift-actor-persistence,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/swift-concurrency-6-2,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/swift-protocol-di-testing,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/swiftui-patterns,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/tdd-workflow,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/team-builder,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/terminal-ops,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/token-budget-advisor,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/ui-demo,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/unified-notifications-ops,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/verification-loop,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/video-editing,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/videodb,True,True,1,True
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/visa-doc-translate,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/workspace-surface-audit,True,False,0,False
affaan-m/everything-claude-code,841beea45cb25ba51f29fa45b7e272938d19b80a,skills/x-api,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/deprecated/design-an-interface,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/deprecated/qa,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/deprecated/request-refactor-plan,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/deprecated/ubiquitous-language,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/engineering/diagnose,True,True,1,True
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/engineering/grill-with-docs,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/engineering/improve-codebase-architecture,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/engineering/setup-matt-pocock-skills,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/engineering/tdd,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/engineering/to-issues,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/engineering/to-prd,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/engineering/triage,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/engineering/zoom-out,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/misc/git-guardrails-claude-code,True,True,1,True
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/misc/migrate-to-shoehorn,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/misc/scaffold-exercises,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/misc/setup-pre-commit,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/personal/edit-article,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/personal/obsidian-vault,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/productivity/caveman,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/productivity/grill-me,True,False,0,False
mattpocock/skills,b843cb5ea74b1fe5e58a0fc23cddef9e66076fb8,skills/productivity/write-a-skill,True,False,0,False
vercel-labs/agent-skills,ce3e64e468f8fa09a2d075d102771838061fdac0,skills/composition-patterns,True,False,0,False
