group,level,label,count,n,prevalence
exclude:affaan-m/everything-claude-code,pattern,add-eval-suite-resource,23,971,0.02368692070030896
exclude:affaan-m/everything-claude-code,pattern,add-example,40,971,0.0411946446961895
exclude:affaan-m/everything-claude-code,pattern,add-hard-constraint,161,971,0.16580844490216273
exclude:affaan-m/everything-claude-code,pattern,add-instruction-guardrail,20,971,0.02059732234809475
exclude:affaan-m/everything-claude-code,pattern,add-output-asset,9,971,0.009268795056642637
exclude:affaan-m/everything-claude-code,pattern,add-output-format-spec,62,971,0.06385169927909372
exclude:affaan-m/everything-claude-code,pattern,add-platform-specific-branch,41,971,0.042224510813594233
exclude:affaan-m/everything-claude-code,pattern,add-precondition-check,77,971,0.07929969104016478
exclude:affaan-m/everything-claude-code,pattern,add-priority-hierarchy,15,971,0.015447991761071062
exclude:affaan-m/everything-claude-code,pattern,add-procedure-step,199,971,0.20494335736354274
exclude:affaan-m/everything-claude-code,pattern,add-prompt-template-resource,42,971,0.04325437693099897
exclude:affaan-m/everything-claude-code,pattern,add-reference-doc,121,971,0.12461380020597322
exclude:affaan-m/everything-claude-code,pattern,add-review-round,85,971,0.08753861997940268
exclude:affaan-m/everything-claude-code,pattern,add-scoring-rubric,10,971,0.010298661174047374
exclude:affaan-m/everything-claude-code,pattern,add-sub-workflow,48,971,0.04943357363542739
exclude:affaan-m/everything-claude-code,pattern,add-template,18,971,0.018537590113285273
exclude:affaan-m/everything-claude-code,pattern,add-tool-config,12,971,0.012358393408856848
exclude:affaan-m/everything-claude-code,pattern,add-voice-rule,6,971,0.006179196704428424
exclude:affaan-m/everything-claude-code,pattern,change-artifact-storage,115,971,0.1184346035015448
exclude:affaan-m/everything-claude-code,pattern,fix-skill-instruction-bug,83,971,0.0854788877445932
exclude:affaan-m/everything-claude-code,pattern,integrate-external-system,133,971,0.13697219361483007
exclude:affaan-m/everything-claude-code,pattern,modify-skill-metadata,162,971,0.16683831101956745
exclude:affaan-m/everything-claude-code,pattern,personalize-defaults,28,971,0.028836251287332648
exclude:affaan-m/everything-claude-code,pattern,relax-constraint,100,971,0.10298661174047374
exclude:affaan-m/everything-claude-code,pattern,remove-auxiliary-file,60,971,0.061791967044284246
exclude:affaan-m/everything-claude-code,pattern,remove-procedure-step,60,971,0.061791967044284246
exclude:affaan-m/everything-claude-code,pattern,rename-or-reorganize-structure,87,971,0.08959835221421215
exclude:affaan-m/everything-claude-code,pattern,reorder-steps,7,971,0.007209062821833162
exclude:affaan-m/everything-claude-code,pattern,retarget-domain-stack,25,971,0.025746652935118436
exclude:affaan-m/everything-claude-code,pattern,retarget-host-tooling,126,971,0.12976313079299692
exclude:affaan-m/everything-claude-code,pattern,retarget-version-api,6,971,0.006179196704428424
exclude:affaan-m/everything-claude-code,pattern,script-add-feature,49,971,0.05046343975283213
exclude:affaan-m/everything-claude-code,pattern,script-add-input-validation,21,971,0.021627188465499485
exclude:affaan-m/everything-claude-code,pattern,script-add-safety-guard,18,971,0.018537590113285273
exclude:affaan-m/everything-claude-code,pattern,script-fix-logic-bug,28,971,0.028836251287332648
exclude:affaan-m/everything-claude-code,pattern,script-fix-platform-compat,27,971,0.027806385169927908
exclude:affaan-m/everything-claude-code,pattern,script-optimize,12,971,0.012358393408856848
exclude:affaan-m/everything-claude-code,pattern,script-refactor,27,971,0.027806385169927908
exclude:affaan-m/everything-claude-code,pattern,style-or-format-content,45,971,0.046343975283213185
exclude:affaan-m/everything-claude-code,pattern,swap-execution-model,92,971,0.09474768280123584
exclude:affaan-m/everything-claude-code,pattern,tighten-instruction-wording,43,971,0.044284243048403706
exclude:affaan-m/everything-claude-code,pattern,translate-skill-content,94,971,0.09680741503604531
repository:anthropics/skills,family,decision,8,204,0.0392156862745098
repository:anthropics/skills,family,fix,19,204,0.09313725490196079
repository:anthropics/skills,family,guardrail,4,204,0.0196078431372549
repository:anthropics/skills,family,lifecycle,76,204,0.37254901960784315
repository:anthropics/skills,family,personalize,7,204,0.03431372549019608
repository:anthropics/skills,family,policy,19,204,0.09313725490196079
repository:anthropics/skills,family,polish,6,204,0.029411764705882353
repository:anthropics/skills,family,procedure,14,204,0.06862745098039216
repository:anthropics/skills,family,resource,47,204,0.23039215686274508
repository:anthropics/skills,family,retarget,17,204,0.08333333333333333
repository:anthropics/skills,family,script,92,204,0.45098039215686275
repository:anthropics/skills,family,spec,9,204,0.04411764705882353
repository:anthropics/skills,family,style,1,204,0.004901960784313725
repository:anthropics/skills,pattern,add-activation-criterion,1,204,0.004901960784313725
repository:anthropics/skills,pattern,add-consent-gate,2,204,0.00980392156862745
repository:anthropics/skills,pattern,add-decision-rule,6,204,0.029411764705882353
repository:anthropics/skills,pattern,add-design-principle,10,204,0.049019607843137254
repository:anthropics/skills,pattern,add-eval-suite-resource,13,204,0.06372549019607843
repository:anthropics/skills,pattern,add-example,5,204,0.024509803921568627
repository:anthropics/skills,pattern,add-hard-constraint,9,204,0.04411764705882353
repository:anthropics/skills,pattern,add-instruction-guardrail,4,204,0.0196078431372549
repository:anthropics/skills,pattern,add-output-asset,8,204,0.0392156862745098
repository:anthropics/skills,pattern,add-output-format-spec,2,204,0.00980392156862745
repository:anthropics/skills,pattern,add-platform-specific-branch,2,204,0.00980392156862745
repository:anthropics/skills,pattern,add-precondition-check,1,204,0.004901960784313725
repository:anthropics/skills,pattern,add-priority-hierarchy,1,204,0.004901960784313725
repository:anthropics/skills,pattern,add-procedure-step,4,204,0.0196078431372549
